name,views,run_time,hours_viewed
Red Notice,"230,900,000",1:58,"454,200,000"
Carry-On,"172,100,000",2:00,"344,100,000"
Don't Look Up,"171,400,000",2:23,"408,600,000"
The Adam Project,"157,600,000",1:47,"281,000,000"
Bird Box,"157,400,000",2:04,"325,300,000"
Back in Action,"147,200,000",1:54,"279,700,000"
Leave the World Behind,"143,400,000",2:22,"339,300,000"
The Gray Man,"139,300,000",2:09,"299,500,000"
Damsel,"138,000,000",1:50,"253,000,000"
We Can Be Heroes,"137,300,000",1:41,"231,200,000"
