name,views,run_time,hours_viewed
Squid Game: Season 1,"265,200,000",8:19,"2,205,200,000"
Squid Game: Season 2,"192,600,000",7:10,"1,380,100,000"
Squid Game: Season 3,"106,300,000",6:08,"652,200,000"
Money Heist: Part 4,"106,000,000",6:42,"710,200,000"
Lupin: Part 1,"99,500,000",3:59,"396,300,000"
Money Heist: Part 5,"99,200,000",9:05,"900,700,000"
Money Heist: Part 3,"80,000,000",6:30,"519,800,000"
La Palma: Limited Series,"70,300,000",3:04,"215,700,000"
Lupin: Part 2,"68,400,000",3:47,"258,900,000"
Who Killed Sara?: Season 1,"58,400,000",6:43,"392,400,000"
